,URL,TITLE,DATE,START_TIME,LOCATION,DESCRIPTION
0,https://datascience.ucsd.edu/events/a-virtuous-circle-between-neuroscience-and-deep-learning-short-term-memory-as-a-case-study/,A Virtuous Circle Between Neuroscience and Deep Learning: Short-Term Memory as a Case Study,"February 4, 2020",2020-02-07 10:00:00,4500 Pacific Hall,"A Virtuous Circle Between Neuroscience and Deep Learning: Short-Term Memory as a Case Study
Dr. Emin Orhan
New York University
The second candidate for the joint position with neurobiology is interviewing next week.
Emin Orhan is currently a postdoc with the Center for Data Science at New York University. Emin’s talk will take place Tuesday Feb 4th at 10am – Room 4500 Pacific Hall (see attached flyer and abstract below). Also attached is the candidates CV. Please sign up to meet with Emin on Wednesday Feb 5th at the following link:
https://docs.google.com/spreadsheets/d/1pllicnp4_A6lE2_k94vif7CNOlfpnLIaerEo31CfE9c/edit?usp=sharing
Please sign up only on Wednesday Feb 5th (the blue shaded section on the right). The peach-shaded section on the left will display Emin’s schedule for their day visiting with neurobiology.
Abstract:
Dr. Emin Orhan’s research is aimed at understanding the high level computational principles and lower level circuit mechanisms underlying biological intelligence. His recent work uses deep learning to address these fundamental questions. In the first part of his talk, Dr. Orhan will describe his recent efforts to understand the nature of the neural representations underlying short-term memory maintenance in the brain, using task-trained recurrent neural networks (Orhan & Ma, Nature Neuroscience, 20191). Consistent with experimental findings, his results show that these models display a spectrum of maintenance mechanisms ranging from sequential delay activity to more persistent delay activity depending on a variety of task- and circuit-related factors. The complete experimental tractability of these models also aids a detailed understanding of the circuit level mechanisms underlying this spectrum of solutions. In the second part of his talk, Dr. Orhan will discuss how he can use the insights gained from the first part to improve artificial neural networks (Orhan & Pitkow, ICLR, 20202). Specifically, he will show that sequential neural activity can be used as a novel, useful inductive bias to improve memory in recurrent neural networks solving practical machine learning tasks. Together these two projects illustrate how deep learning and neuroscience can mutually inform each other, to the benefit of both fields.
Emin_Orhan_CV (PDF Document)"
1,https://datascience.ucsd.edu/events/cultured-data-data-science-the-arts-and-humanities-towards-a-better-digital-future/,"Cultured Data: Data Science, the Arts, and Humanities Towards A Better Digital Future","December 15, 2019",All Day,UC San Diego,"How can data science and the arts and humanities learn from one another?
Click here to Visit the Cultured Data Symposium Website and Register.
The growing digitization of the cultural record and the explosion of new data generation, collection, and analysis practices create a new state of cultured data: culture as data, and data as a driver of culture. Our symposium examines this emerging condition, considering both how analytic techniques enable new understandings of culture, and how the proliferation of data in everyday life changes how culture is produced, distributed, and influenced. In these panels, we wrestle with new modes of scholarship and cultural production enabled by data-forward analysis methods, and consider perspectives from the arts and humanities for data science practice. What can these disciplines teach one another about their possibilities and limits towards realizing a more just, informed, and culturally-rich future?
Sponsored by the Halicioglu Data Science Institute, The Library at UC San Diego, the Division of Arts and Humanities, as well as local partners, this event aims to contribute to interdisciplinary exchange defining the nascent field of Data Science.
Over the two day symposium we will host four panels, each focused on one intersection of data science and the arts and humanities. Each panel will have four speakers drawn from academia, industry, and the arts. The first day will be held at CalIT2 on campus with a related arts exhibition. The second day will be hosted in Bread & Salt, a popular arts warehouse in Barrio Logan, concluding with evening performances.
The hashtag for the symposium is #CulturedData."
2,https://datascience.ucsd.edu/events/building-a-safe-secure-and-easy-to-use-internet-of-things-infrastructure/,"Building a Safe, Secure and Easy to Use Internet-of-Things Infrastructure","December 9, 2019",2020-02-07 16:00:00,"CSE, 1202","Title: Building a Safe, Secure and Easy to Use Internet-of-Things Infrastructure 
————————————————————————————————
Abstract:  The first wave of computing was large main frames, the second the PC, and the third the smartphone and mobile computing. We are arguably living in the fourth wave of computing led by billions of connected IoT devices, connected to each and every facet of our life, powered by rapid advances in machine learning, and hardware/software systems. However, there are numerous challenges that still hinder the widespread realization of this vision of pervasive IoT – namely security, safety, privacy concerns and those related to scalability and efficacy of ML systems to make sense of the sheer volume and diversity of IoT data.
In this talk, I will present our recent work on building a safe, secure and easy to use IoT infrastructure from the ground up.  I will first present GioTTO – an end-to-end IoT stack that we have been building for a few years now, which includes our Mites.io hardware platform coupled with our distributed IoT OS and Machine Learning layers to enable intelligent inferences from IoT sensors without having to write (much) code. I will also describe numerous safety and security challenges common with current IoT ecosystems and our recent approaches towards addressing these issues for existing platforms and for clean slate designs.  Finally, I will discuss the numerous privacy issues with these emerging IoT devices and deployments and highlight our multi-faceted approaches to address them by involving various stakeholders — developers, manufacturers and end-users. I will summarize by highlighting challenges and opportunities ahead including briefly mentioning some ongoing work.
Bio: Yuvraj Agarwal is an Associate Professor of Computer Science (and by courtesy in ECE) at Carnegie Mellon, and the director of SynergyLabs @ CMU (www.synergylabs.org). His lab focuses on research at the intersection of hardware (embedded) and software systems, and in the recent past his group has focused on energy efficiency, security & privacy as a central research theme. In additional to publications at top conferences (MobiSys, Ubicomp, SenSys, IPSN, NSDI, USENIX, BuildSys, CHI), SynergyLab specifically strives to have real world impact and benefit society. His group leads research around smart buildings, systems for the Internet-of-Things, privacy and security, and have also had significant impact in mobile computing and energy efficient computing.  Many of the systems that Yuvraj and his students have built have been deployed at scale on the UCSD and CMU campuses across several buildings. The systems that he has built for studying privacy on mobile platforms have been used by hundreds of thousands of users worldwide and have had significant industry adoption. He is a member of the IEEE, ACM and USENIX."
3,https://datascience.ucsd.edu/events/towards-fully-realized-open-science-and-technology-trustworthiness/,Towards Fully Realized Open Science and Technology Trustworthiness,"December 9, 2019",2020-02-07 14:00:00,"SDSC, The Synthesis Center","Title: Towards Fully Realized Open Science and Technology Trustworthiness
Open science has the objective of accelerating the dissemination of fundamental research results to advance the frontiers of knowledge and help ensure the nation’s future prosperity.  It can positively influence the verification of scientific research results (science, technology, engineering, and mathematics (STEM)), can encourage the open sharing of the products of scientific research, and can encourage greater scientific rigor.   Advancing open science throughout the scientific enterprise has challenges both socio-organizational and technical, challenges that impact the scientific workflows and science norms, the subsequent uses of data, and the reproducibility and replicability of scientific results.
Technology advancements have a long and distinguished history of aiding and advancing scientific discovery as a whole.  Technology is more recently being employed in the aid of open science as well through, for instance, research advances in data provenance.   Technology research needs to continue along its leading edge trajectory of technological advancement while at the same time being more mindful that technology results are not always positive and not even always neutral.
In this talk I discuss the promise of open science in data science.  I discuss the technology advancements that have contributed to trustworthiness of research, including our own work in data provenance and safe computing.   I conclude with a full realization of open science but one that is smattered with measure of caution that encourages data science programs to be intentional about the norms that are being formed in the next generation of its researchers.

Bio Beth A. Plale
Dr. Plale is a program officer at the National Science Foundation in the United States working on issues of open science. She is also a Full Professor in the Dept. of Intelligent Systems Engineering at Indiana University Bloomington.  Plale has authored over 150 peer-reviewed journal articles or juried conference proceedings.  She is founding Director of the Data To Insight Center, founder of the HathiTrust Research Center, and past Science Director of the Pervasive Technology Institute all at Indiana University Bloomington.
Dr. Plale’s research interests are in data management, cloud computing, smart and connected communities, and open science.
Dr. Plale’s postdoctoral studies were done at Georgia Institute of Technology. Her PhD is from the Watson School of Engineering at the State University of New York (SUNY) Binghamton.   She is one of the two USA founding members of the Research Data Alliance (RDA), and served as inaugural chair of the RDA Technical Advisory Board (TAB).  She received the distinguished Early Career award from the Department of Energy (DOE)."
4,https://datascience.ucsd.edu/events/ai-and-future-of-work/,AI and Future of Work,"December 5, 2019",2020-02-07 11:30:00,"SDSC, The Synthesis Center","Ashutosh Garg is the CEO and co-founder of eightfold.ai and a true guru of all things AI, with 10 years of information retrieval, machine learning and search experience. Previously, he was Chief Technology Officer (CTO) of BloomReach.
Prior to that, he was at IBM research. He is also a prolific publisher/inventor, with a book on machine learning (“What’s Next for You – The Eightfold Path To Transforming The Way We Hire And Manage Talent”), 30+ papers, and 50+ patents.
Ashutosh holds a BTech from IIT-Delhi and a PhD from U of Illinois UC. Ashutosh has numerous awards, including best thesis award at IIT Delhi, IBM Fellowship and outstanding researcher award at UIUC."
5,https://datascience.ucsd.edu/events/special-seminar-rosa-arriaga/,Leveraging Theory to Design Health and Wellness Systems,"December 5, 2019",2020-02-07 10:00:00,"SDSC, The Synthesis Center","Leveraging Theory to Design Health and Wellness Systems in Human Centered Computing
Psycho-social theories can inform the design of mobile health technologies that require user interaction. I demonstrate how human centered computing can leverage theories in developmental psychology and behavior science to inform the treatment and palliative care of chronic diseases, developmental disorders, and mental illness. Each of these conditions has a set of challenges. For asthma, these include poor patient engagement and lack of continuity of care. Individuals with autism, on the other hand, require constant guidance on daily activities. In contrast, PTSD therapy is limited by the over-reliance on patient self-report and clinician intuition. In this talk I will discuss technology interventions that address these issues and provide personalized solutions. I will also discuss the underlying theories that power these systems and new projects that are in line with this HCI chronic care research agenda.
BIO
Dr. Arriaga is a Human Computer Interaction (HCI) researcher in the School of Interactive Computing. Her emphasis is on using psychological theories and methods to address fundamental topics of HCI and Social Computing. Her current research is in the area of chronic care management where she designs technology to: increase patient engagement, support continuity of care, enhance clinical decision making and mediate patient-provider communication.
Dr. Arriaga received her Ph.D. in Psychology from Harvard University. She has been a research faculty in the College of Computing since 2007. She advises undergraduate and graduate students and teaches courses in HCI and Cognitive Science. She also teaches the User Experience Design MOOC for the Georgia Tech-Coursera partnership."
6,https://datascience.ucsd.edu/events/lecture-title-tba/,Lecture (Title TBA),"December 2, 2019",2020-02-07 12:15:00,"H&SS 3027, UCSD","Guest speaker: Dr. Joan Donovan, Harvard Kennedy School.
To RSVP, please contact Tara Nadeau at tlnadeau@ucsd.edu
This working group is supported through partnerships with the Division of Arts & Humanities, Halicioglu Data Science Institute, and the Program in Science Studies."
7,https://datascience.ucsd.edu/events/u-s-go-fair-to-hold-train-the-trainer-workshop/,U.S. GO FAIR to hold “Train-the-Trainer” workshop,"November 30, 2019",,"Atlanta, Georgia","February 25-27, 2020 – Atlanta GA
In collaboration with the South Big Data Innovation Hub, the U.S. GO FAIR Coordination Office will hold a 2 ½ day “Train-the-Trainer” workshop at Georgia Tech, in downtown Atlanta. Applications are open for this event, which is intended to develop a community of practice for the FAIRification of data, and increase the network of available expert trainers on the application of FAIR techniques cross the U.S. Research & Development ecosystem.
The workshop is designed to foster collaborative learning and exchange of knowledge and experience in the use of semantic tools and applications, and best pedagogical practices around data. The workshop is open to participants from academia, government, industry, and nonprofits.
Travel support is available for 12 participants, and selection will be based on each applicant’s background and/or potential for holding future trainings. Seats are limited (24), so please submit your application soon (due by November 30, 2019). For questions, email Gabrielle Feliciano (g2feliciano@sdsc.edu)."
8,https://datascience.ucsd.edu/events/overview-of-darpa-defense-sciences-office/,Overview of DARPA Defense Sciences Office,"November 22, 2019",2020-02-07 09:00:00,SDSC E218E,"DARPA is the Department of Defense’s central research organization with a mission to make pivotal investments in breakthrough technologies for national security. DARPA’s Defense Sciences Office (DSO) identifies and pursues high-risk, high-payoff research initiatives across a broad spectrum of science and engineering disciplines and transforms them into important, new game-changing technologies for US national security.  Current DSO themes include frontiers, in math, computation, and design, limits of sensing and sensors, complex social systems, and anticipating surprise. DSO relies on the greater scientific research community to help identify and explore ideas that could potentially revolutionize the state-of-the-art. Senator and Zhang will present an overview of DARPA and the Defense Sciences Office, including funding priorities and opportunities, and also discuss DARPA’s “AI Next” Campaign, with an emphasis on development and application of  “third-wave” AI technologies.
Ted and Jiangying will be available from 10-11 for brief individual meetings.  If you’d like to meet with them, please contact Michael Pazzani mpazzani@ucsd.edu
BIOS
Dr. Jiangying Zhou
Jiangying Zhou became a DARPA program manager in the Defense Sciences Office in November 2018, having served as a program manager in the Strategic Technology Office (STO) since January 2018. Her areas of research include machine learning, artificial intelligence, data analytics, and intelligence, surveillance and reconnaissance (ISR) exploitation technologies.
Prior to joining DARPA, Zhou was a senior engineering manager in the Information Sciences Division at Teledyne Scientific and Imaging, LLC. During her more than ten-year tenure at Teledyne, Zhou worked on many contract R&D programs from U.S. government funding agencies as well as commercial customers in the areas of sensor exploitation, signal and image processing, and pattern recognition. Zhou also served as director of R&D of Summus Inc., a small start-up company specializing in contract engineering projects for U.S. Department of Defense and commercial customers in the areas of video and image compression, pattern recognition, and computer vision. Zhou began her career as a scientist at Panasonic Technologies, Inc., Princeton, New Jersey, where she conducted research in the areas of document analysis, handwriting recognition, image analysis, and information retrieval.
Dr. Zhou received a Bachelor of Science and a Master of Science, both in computer science, from Fudan University. She received a doctorate in electrical engineering from the State University of New York at Stony Brook.
Zhou is a member of the Institute of Electrical and Electronics Engineers Society and also a member of the Upsilon Pi Epsilon international honor society for the computing and information disciplines.
Programs:
Ted Senator
Mr. Ted Senator joined DARPA as a program manager in the Defense Sciences Office in August 2018. Senator was a senior science advisor at the National Geospatial-Intelligence Agency, focusing on uses of artificial intelligence and machine learning. He has been a program manager at both the Intelligence Advanced Research Projects Activity (IARPA) and the Defense Advanced Research Projects Agency (DARPA), as well as the founder and leader of the Artificial Intelligence Division at the U.S. Treasury’s Financial Crimes Enforcement Network (FinCEN) and an engineer for the Department of the Navy. Between periods of government service, he was a technical fellow and vice president at SAIC (now Leidos), the founder of the data science group at NASD Regulation (now the Financial Regulatory Authority, or FinRA), and a consultant with Booz Allen Hamilton.
Senator has been developing and researching AI systems and technologies for over 25 years. He formed and led teams that developed and deployed applications of AI in the domains of counter-terrorism, money laundering, and stock market fraud. He also formulated and led research programs in fundamental techniques for applying AI and machine learning to structured and linked data and in transfer learning.
Senator recently retired after 15 years of service as the secretary-treasurer of the Association for the Advancement of Artificial Intelligence (AAAI), of which he is a senior member. He is a three-time winner of AAAI’s Deployed Application Award, the 2013 recipient of AAAI’s Distinguished Service Award, and the 2014 recipient of the Distinguished Service Award from the ACM Special Interest Group on Knowledge Discovery and Data Mining (ACM SIGKDD). He received the Office of the Secretary of Defense Exceptional Public Service Medal in 2006 and the Federal Information Technology Leadership Award in 1993. He holds degrees in physics and in electrical engineering from MIT and has done additional graduate studies in physics, information technology, and finance
Programs"
9,https://datascience.ucsd.edu/events/does-ai-really-understand-the-language-or-only-uses-it/,Does AI really understand the language or only uses it?,"November 20, 2019",2020-02-07 14:00:00,"SDSC, The Auditorium","Title: Meaning mining in the context – does the AI really understand the language or only uses it?
Natural language processing as a field is offering more and more efficient methods for several complex text-related tasks. Most of them are based on vector representation of words, phrases or sentences. The outcomes are often amazing – and smoothly passing the Touring Test. Although does successfully operating on language mean that the AI does understand the language? That it knows the meaning of the words or sentences it plays with? And how can the notions of meaning and understanding be defined here? With the help of semiotics and philosophy of language I will discuss the concept of word embeddings algorithms, as well as its consequences for the use of linguistic data.
Inez Okulska is a researcher at NASK National Research Institute. Working on intersections of AI and humanities, especially focused on Natural Language Processing (NLP). Having her PhD in literary translation, she is about to graduate from Master of Science in Robotics and Automation. Active literary critic and translator, among others for Scientific American Journal. From May till November 2014 she was conducting her research as a visiting researcher at Harvard University, Cambridge, MA."
